カテゴリ,略称,タイトル,学会,著者所属,Paper URL,Website URL,タスク,Domain,ロボット,Training,Evaluation,Modality,Dataset,Backbone,Action Generation,概要
Dataset,Ego4D,"Ego4D: Around the World in 3,000 Hours of Egocentric Video",CVPR,"Carnegie Mellon University, Georgia Tech, MIT, Meta, National University of Singapore, The University of Tokyo, UC Berkeley, University of Bristol, University of Minnesota, University of Pennsylvania, University of Texas at Austin",https://arxiv.org/abs/2110.07058,https://ego4d-data.org/,,,Human,,,,,,,"Ego4Dは、3,670時間-931人規模の世界最大の1人称マルチモーダル映像データセットと5つのベンチマーク（過去・現在・未来）を提供し、ロボット・AR・視覚知能研究の標準を新たに定義する。実世界の日常を忠実に再現し、「人の視点認識」のスケール・多様性・現実性を一段と高めた。"
Evaluation,CALVIN,CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks,RAL,"University of Freiburg, University of Technology Nuremberg",https://arxiv.org/abs/2112.03227,http://calvin.cs.uni-freiburg.de/,Manipulation,,Simulation,,,,,,,CALVINは、ロボットが自然言語指示による長時間の操作タスクを学習・評価できるように、4つの環境、34の課題、マルチモーダルセンサを備えたベンチマーク・データセットです。MCILベースラインは、単一の課題の一部のみを解決し、言語・行動連結・長期計画・ドメイン遷移研究の広い余地を明らかにしています。
VLM for Robotics,MVP,Masked Visual Pre-training for Motor Control,CoRL,UC Berkeley,https://arxiv.org/abs/2203.06173,https://tetexiao.com/projects/mvp,Manipulation,,Simulation,,,,,,,実世界の画像をMAEで事前学習して凍結した後、RLでコントローラのみを学習するMVPは、教師あり学習エンコーダよりも最大80%p高い成功率を達成し、一部の課題ではオラクル状態と同等の性能を示します。大規模なHOI画像の活用とPixMCベンチマークの公開により、ピクセルベースのロボット制御研究の新たな基準を提示します。
VLM for Robotics,R3M,R3M: A Universal Visual Representation for Robot Manipulation,CoRL,"Meta, Stanford University",https://arxiv.org/abs/2203.12601,https://sites.google.com/view/robot-r3m/,Manipulation,,"Franka Emika Panda, Simulation",,,,,,,人間の一人称映像と言語を利用して時間・意味・希少性を同時に学習したR3Mは、12個のシミュレーション-5個の実操作課題で、従来の視覚表現に比べて大きな性能向上を示した。汎用ロボット操作用ImageNetに一歩近づいた研究。
End-to-End,Gato,A Generalist Agent,TMLR,Google DeepMind,https://arxiv.org/abs/2205.06175,https://deepmind.google/discover/blog/a-generalist-agent/,"Game, Manipulation",,"Sawyer, Simulation",,,,,,,Atari Games with cross-transformer
VLM for Robotics,VIP,VIP: Towards Universal Visual Reward and Representation via Value-Implicit Pre-Training,ICLR,"Meta, University of Pennsylvania",https://arxiv.org/abs/2210.00030,https://sites.google.com/view/vip-rl,Manipulation,,"Franka Emika Panda, Simulation",,,,,,,Temporal Contrative Learningにより学習し、時系列的に近い画像のlatentの距離を近く、時系列的に遠い画像はlatentの距離を遠くし、画像latentによるRL Rewardの生成できるpretrained vision model
"End-to-End, Hierarchical, Prediction",TriVLA,TriVLA: A Triple-System-Based Unified Vision-Language-Action Model for General Robot Control,,China,https://arxiv.org/abs/2507.01424,https://zhenyangliu.github.io/TriVLA/,Manipulation,Tabletop,"Franka Emika Panda, Kinova Gen3, Simulation",Supervised,"CALVIN, LIBERO, MetaWorld","Language, Proprioception, Vision","Open-X-Embodiment, Something-Something","Eagle-2, SigLIP, Stable Video Diffusion",Flow Matching,TriVLAは、Vision-Language Model（VLM）とVideo Diffusion Model（VDM）を統合した3つのシステム構造を備えたロボット制御フレームワークです。複雑な言語命令と物理的なダイナミクスを理解し、長期的な操作タスクを実行できるように設計されています。多様なシミュレーション環境および実環境において最先端の性能を達成し、少ない学習データでも優れた汎化能力を示します。
"End-to-End, Hierarchical",DP-VLA,A Dual Process VLA: Efficient Robotic Manipulation Leveraging VLM,CoRL,ETRI,https://arxiv.org/abs/2410.15549,,Manipulation,"Kitchen, Tabletop",Simulation,Supervised,RoboCasa,"Language, Proprioception, Vision",,"CLIP, OpenVLA",Autoregressive,
End-to-End,VQ-VLA,VQ-VLA: Improving Vision-Language-Action Models via Scaling Vector-Quantized Action Tokenizers,ICCV,"China, Shanghai Artificial Intelligence Laboratory",https://arxiv.org/abs/2507.01016,https://xiaoxiao0406.github.io/vqvla.github.io/,Manipulation,"Kitchen, Tabletop",Franka Emika Panda,"LoRA, Self-Supervised, Supervised",LIBERO,"Language, Vision","LIBERO, ManiSkill, Open-X-Embodiment, RLBench","OpenVLA, VQ-VAE","Autoregressive, Discrete Token",VQ-VLAは、ロボット操作のためのアクションシーケンスをトークン化するResidual VQ-VAEベースのトークナイザーを提案し、従来の100倍大きなデータセットで学習されることで、より滑らかで長期的な行動生成を可能にします。このトークナイザーは、OpenVLAのようなVision-Language-Actionモデルに統合され、推論速度と性能を向上させます。
"3D, End-to-End",Evo-0,Evo-0: Vision-Language-Action Model with Implicit Spatial Understanding,,"China, Shanghai Jiao Tong University",https://www.arxiv.org/abs/2507.00416,https://github.com/MINT-SJTU/Evo-VLA,Manipulation,Tabletop,xArm,"LoRA, Supervised",,"Language, Proprioception, Vision",,"PaliGemma, VGGT",Flow Matching,Evo-0は、VLA（Vision-Language-Action）モデルに明示的な3D入力を必要とせずに空間理解を強化するため、**Visual Geometry Grounded Transformer (VGGT)**から抽出された幾何学的情報を統合するプラグアンドプレイモジュールを提案します。5つの実際の操作タスクでの実験結果によると、既存のSOTAモデルπ₀と比較して、空間認知および操作性能が大幅に向上しました。
"3D, End-to-End",AC-DiT,AC-DiT: Adaptive Coordination Diffusion Transformer for Mobile Manipulation,,"China, Nanjing University, Peking University",https://arxiv.org/abs/2507.01961,https://ac-dit.github.io/,"Bi-manual, Manipulation, Move Base","Kitchen, Tabletop",AgileX,"LoRA, Supervised","Maniskill-HAB, RoboTwin","Language, PointCloud, Proprioception, Vision",,"Lift3D, SigLIP",Diffusion,AC-DiTは、モバイルベースとマニピュレーター間の協調性を向上させるために設計された拡散ベースのエンドツーエンドロボット操作モデルです。Mobile-to-Body ConditioningとPerception-aware Multimodal Adaptationという2つの主要なメカニズムを通じて、調整誤差を削減し、段階ごとに適切な視覚情報を動的に活用します。
"Audio, End-to-End",MultiGen,MultiGen: Using Multimodal Generation in Simulation to Learn Multimodal Policies in Real,,UC Berkeley,https://arxiv.org/abs/2507.02864,,Manipulation,Tabletop,Kinova Gen3,"Self-Supervised, Supervised",,"Audio, Language, Proprioception, Vision","EPIC-Kitchens, RoboVerse, Youtube","Audio Spectrogram Transformer, CLIP, MMAudio, SAM2",Diffusion,MultiGenは、シミュレーションベースのロボット政策学習において、ビジョン以外のセンサー（特にオーディオ）を現実的に生成するために、ビデオからオーディオを生成するジェネレーターを物理シミュレーターに統合したフレームワークです。これにより、実際のロボットデータを使用せずに、シミュレーションで学習した政策を実際のマルチセンサーベースのタスク（例：音響ベースの注ぎ作業）にゼロショットで適用することが可能です。
"3D, Dataset, End-to-End",DexVLG,DexVLG: Dexterous Vision-Language-Grasp Model at Scale,ICCV,"China, Peking University",https://arxiv.org/abs/2507.02747,https://jiaweihe.com/dexvlg,"Dexterous Hand, Manipulation",Tabletop,"Shadow Hand, UR10",Supervised,,"Language, PointCloud",DexGraspNet,"Florence-2, SAMesh, Uni3D",Flow Matching,DexVLGは、単一の時点のRGB-D入力と言語指示から器用な（Dexterous）グリップ姿勢を予測するVision-Language-Graspモデルです。このため、1.7億件のグリップポーズとキャプションを含む大規模なデータセットDexGraspNet 3.0を新たに構築しました。
"End-to-End, Humanoid",EgoVLA,EgoVLA: Learning Vision-Language-Action Models from Egocentric Human Videos,,"MIT, NVIDIA, UC San Diego",https://arxiv.org/abs/2507.12440,https://rchalyang.github.io/EgoVLA/,"Bi-manual, Dexterous Hand, Manipulation",Tabletop,"Simulation, Unitree H1",Supervised,Ego Humanoid Manipulation Benchmark,"Language, Proprioception, Vision","HOI4D, HOT3D, HoloAssist, TACO",NVILA,Autoregressive,EgoVLAは、人間のエゴセントリックな動画から学習したビジョン・言語・行動（VLA）モデルであり、人間の手に動作を予測し、これを二腕型ヒューマノイドロボットに移植して操作を実行します。このため、人間とロボットの行動空間を統一し、少量のロボットデモを用いてその後の微調整を通じて汎用的な操作能力を確保します。
"End-to-End, Tactile",Tactile-VLA,Tactile-VLA: Unlocking Vision-Language-Action Model's Physical Knowledge for Tactile Generalization,,"Shanghai Jiao Tong University, Tsinghua University",https://arxiv.org/abs/2507.09160,,"Manipulation, Peg-in-Hole",Assembly,UMI,Supervised,,"Language, Proprioception, Tactile, Vision",VLA-T dataset,"Gemma, Pi0, ViT",Flow Matching,Tactile-VLAは、Vision-Language-Action（VLA）モデルの抽象的な物理知識を触覚入力と組み合わせることで、接触が重要な操作（タスク）において精密な力制御を可能にするフレームワークです。Chain-of-Thoughtに基づく適応的な推論を含むことで、少数のデモだけでも多様な力関連の言語命令に対するゼロショット一般化を実現します。
"Prediction, Special",cVLA,cVLA: Towards Efficient Camera-Space VLAs,,University of Freiburg,https://arxiv.org/abs/2507.02190,,Manipulation,Tabletop,Franka Emika Panda,Supervised,DROID,"Depth, Language, Proprioception, Vision","CLEVR, ManiSkill",PaliGemma,"Autoregressive, Discrete Token",cVLAは、効率的なVision-Language-Action（VLA）学習を実現するため、シミュレーションベースのデータと軽量化されたモデル構造を活用し、カメラ画像フレーム上でロボットのエンドエフェクタのキーポーズを予測するアプローチを提案する。従来の低レベル制御に代わって2つのキーポーズを予測し軌道を構成し、1ステップ先のトークン予測方式を採用することで学習効率を向上させた。
End-to-End,VOTE,VOTE: Vision-Language-Action Optimization with Trajectory Ensemble Voting,,,https://arxiv.org/abs/2507.05116,https://github.com/LukeLIN-web/VOTE,Manipulation,Tabletop,Simulation,"LoRA, Supervised","LIBERO, SIMPLER","Language, Vision",Open-X-Embodiment,OpenVLA,"Continuous, Parallel Decoding",VOTEはVLMベースのロボット操作モデルであり、アクショントークナイザーを使用せずに直接連続的な行動を予測し、効率的な投票ベースのアンサンブル方式により一般化性能を向上させます。既存のVLAモデルと比較して最大35倍の高速推論速度と低い学習コストを実現しつつ、SOTA性能を達成しています。
End-to-End,VIMA,VIMA: General Robot Manipulation with Multimodal Prompts,ICML,"Caltech, NVIDIA, Stanford University, etc.",https://arxiv.org/abs/2210.03094,https://vimalabs.github.io/,Manipulation,Tabletop,Simulation,Supervised,"RAVENS, VIMA-Bench","Language, Vision",,"T5, ViT","Autoregressive, Discrete Token","マルチモーダルな入力に対応し, 言語や画像で指示ができる. 新ベンチマークVIMA-BENCHの開発, pre-trainedなT5がベース. object detection結果も入れて性能を上げる. decoder onlyではなく, promptのみencoderで処理してからdecoderをした方が性能が良い"
"End-to-End, Open-Source",Octo,Octo: An Open-Source Generalist Robot Policy,RSS,"Carnegie Mellon University, Google DeepMind, Stanford University, UC Berkeley",https://arxiv.org/abs/2405.12213,https://octo-models.github.io/,"Bi-manual, Manipulation","Assembly, Kitchen, Tabletop","ALOHA, Google EDR, UR5, WidowX",Supervised,,"Language, Proprioception, Vision",Open-X-Embodiment,"T5, Transformer, ViT",Diffusion,"汎用ロボットポリシー Octoは80万デモで学習したViT-Diffusionベースのモデルで、9台の実機ロボットでゼロショット制御と100デモの微調整ともにSOTAを更新する。
公開重み付け・コードは、様々なセンサー・アクション空間に素早く適合するロボット「foundation model」の実用化を早める。"
"End-to-End, Open-Source",OpenVLA,OpenVLA: An Open-Source Vision-Language-Action Model,CoRL,"Google DeepMind, MIT, Physical Intelligence, Stanford University, Toyota Research Institute, UC Berkeley",https://arxiv.org/abs/2406.09246,https://openvla.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Google EDR, WidowX","LoRA, Supervised",,"Language, Vision",Open-X-Embodiment,"DINOv2, LLaMA2, SigLIP","Autoregressive, Discrete Token",オープンソースVLA OpenVLAは、97万台のロボットデモでLlama 2 7Bを微調整し、RT-2-Xより小さいながらも高い操作成功率を達成し、LoRA-4-bit量子化により、コンシューマGPUでも簡単に微調整・推論が可能です。つまり、汎用ロボット操作のための軽量で強力なオープンベースのモデルを提供し、研究・応用の拡大を促進します。
End-to-End,CogAct,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,,"Microsoft, Tsinghua University",https://arxiv.org/abs/2411.19650,https://cogact.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Realman, Simulation",Supervised,SIMPLER,"Language, Proprioception, Vision",Open-X-Embodiment,"DINOv2, LLaMA2, SigLIP",Diffusion,CogACTは、VLMベースの認知とDiTベースの行動モジュールを分離・結合し、ロボット操作性能と一般化を大幅に向上させました。OXEの事前学習後、少量の微調整だけでシミュレーション・実世界ともに従来のVLA(特にRT-2-X-OpenVLA)に比べて最大55 pp↑の成功率を達成する。
End-to-End,RDT-1B,RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,ICLR,Tsinghua University,https://arxiv.org/abs/2410.07864,https://rdt-robotics.github.io/rdt-robotics/,"Bi-manual, Manipulation",Tabletop,ALOHA,Supervised,,"Language, Proprioception, Vision","DROID, Mobile ALOHA Dataset, Open-X-Embodiment, RH20T, RT-1","SigLIP, T5",Diffusion,RDT-1Bは、統合行動空間+Diffusion Transformerで46個のロボットデータから事前学習した1.2B規模の両腕操作基盤モデルです。実験的に、零/少数のショット一般化と高度の繊細な操作まで、SOTAを大きく上回りました。
End-to-End,RoboMamba,RoboMamba: Efficient Vision-Language-Action Model for Robotic Reasoning and Manipulation,NeurIPS,Peking University,https://arxiv.org/abs/2406.04339,https://sites.google.com/view/robomamba-web,Manipulation,"Kitchen, Tabletop",Franka Emika Panda,Supervised,SAPIEN,"Language, Vision","LLaVA Instruction, LLaVA-LCS, LLaVA-Next, RoboVQA, ShareGPT4V-SFT","CLIP, Mamba",Continuous,Mamba言語モデルとCLIPを組み合わせて作られたRoboMambaは、推論力と効率を同時に備えたVLAで、0.1%の微調整でSOTA操作性能と3倍の高速制御周波数を達成する。つまり、「小さく学習して大きく動く」ロボット用マルチモーダルコアエンジンである。
"Affordance, End-to-End",Chain-of-Affordance,Improving Vision-Language-Action Models via Chain-of-Affordance,,Shanghai University,https://arxiv.org/abs/2412.20451,https://chain-of-affordance.github.io/,Manipulation,"Kitchen, Tabletop",Franka Emika Panda,"LoRA, Supervised",LIBERO,"Language, Vision",DROID,"DiffusionVLA, Qwen2-VL",Diffusion,ロボットがObject→Grasp→Spatial→Movementのアフォーダンスで段階的に推論して行動するように設計されたChain-of-Affordanceが、現実とシミュレーションの両方で従来のVLAベースのモデルを大きく上回りました。少ないデータと軽量のバックボーンでも、複雑な作業、障害物、見慣れない物体の姿勢でタフネスを確保した点が重要な貢献です。
End-to-End,Pi-0,π_0: A Vision-Language-Action Flow Model for General Robot Control,,Physical Intelligence,https://arxiv.org/abs/2410.24164,https://www.physicalintelligence.company/blog/pi0,"Bi-manual, Manipulation, Move Base","Kitchen, Tabletop","ALOHA, AgileX, Fibocom, Franka Emika Panda, UR5",Supervised,,"Language, Proprioception, Vision","BridgeV2, DROID, Open-X-Embodiment",PaliGemma,Flow Matching,π0は、VLMをベースにFlow Matching Action Expertを組み合わせ、1万時間以上のマルチロボットデータを事前学習した汎用ロボットファウンデーションモデルです。実験では、ゼロ・ショット・少量微調整ともに従来モデルを大きく上回り、洗濯物の折り畳み・箱詰めなどの長期高難度作業も実行します。
End-to-End,Pi-0.5,Pi-0.5: a Vision-Language-Action Model with Open-World Generalization,,Physical Intelligence,https://arxiv.org/abs/2504.16054,https://www.pi.website/blog/pi05,"Bi-manual, Manipulation, Move Base","Kitchen, Tabletop",,Supervised,,"Language, Proprioception, Vision","COCO, Cambrian-7M, CapsFusion, PixMO, VQAv2","Gemma, SigLIP","Autoregressive, Flow Matching",π0.5は、Web・複数のロボット・言語デモを一緒に学習し、少ないモバイルデモだけで見知らぬ家の掃除を長時間行う階層型VLAモデルです。FAST TokenとFlow Matchingアクションエキスパートとの組み合わせにより、π0に比べて一般化性能を大幅に向上させた。
End-to-End,Pi-0-FAST,FAST: Efficient Action Tokenization for Vision-Language-Action Models,,"Physical Intelligence, Stanford University, UC Berkeley",https://arxiv.org/abs/2501.09747,https://www.pi.website/research/fast,"Bi-manual, Manipulation","Kitchen, Tabletop","ALOHA, AgileX, Franka Emika Panda, Simulation, UR5",Supervised,LIBERO,"Language, Proprioception, Vision","BridgeV2, DROID, LIBERO, RT-1, RT-2","DINOv2, LLaMA2, PaliGemma, SigLIP","Autoregressive, Discrete Token",DCT (Discrete Cosine Transform) + BPE (Byte-Pair Encoding)でアクションを圧縮するFASTは、高周波のロボット操作でも情報量の多いトークン列を作成し、汎用ボーカFAST+と組み合わせることで、デクスターラス-大規模データ学習を最大5倍高速化します。これにより、π0-FASTは従来のDiffusion VLAと同等の性能を維持しながら、学習・ゼロショット一般化が大幅に向上します。
End-to-End,OpenVLA-OFT,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,RSS,Stanford University,https://arxiv.org/abs/2502.19645,https://openvla-oft.github.io/,"Bi-manual, Manipulation",Tabletop,ALOHA,Supervised,LIBERO,"Language, Proprioception, Vision",Open-X-Embodiment,"DINOv2, LLaMA2, SigLIP","Continuous, Parallel Decoding",並列デコード-アクションチャンキング-連続＋L1回帰で構成されるOFTレシピは、VLAファインチューニングの速度・性能・拡張性を同時に向上させ、シミュ-実ロボットで最新の方法を凌駕します。
End-to-End,HybridVLA,HybridVLA: Collaborative Diffusion and Autoregression in a Unified Vision-Language-Action Model,,Peking University,https://arxiv.org/abs/2503.10631,https://hybrid-vla.github.io/,"Bi-manual, Manipulation",Tabletop,"Franka Emika Panda, Simulation",Supervised,RLBench,"Language, Proprioception, Vision","DROID, Open-X-Embodiment, ROBOMIND","CLIP, DINOv2, LLaMA2, Phi2, SigLIP","Autoregressive, Diffusion",拡散と自己回帰を一つのLLMの中に協調的に統合し、連続制御とセマンティック推論の両方を活かしたロボットVLAモデルを提案する。RLBench-実世界の片腕・両腕タスクにおいて、従来のSOTAを14-33%上回り、速度と精度のトレードオフのためにディフュージョンのみのバリエーションも提示する。
End-to-End,NORA,NORA: A Small Open-Sourced Generalist Vision Language Action Model for Embodied Tasks,,Singapore University of Technology and Design,https://arxiv.org/abs/2504.19854,https://declare-lab.github.io/nora,Manipulation,Tabletop,WidowX,Supervised,LIBERO,"Language, Vision",Open-X-Embodiment,Qwen2.5-VL,"Autoregressive, Discrete Token",NORAはQwen-2.5-VLベースの3 B-parameter軽量VLAで、FAST+トルクナイザーと97万台のロボットデモ学習により、リアルタイム推論・高い成功率を同時に達成する。既存の7 B以上のモデルより▲演算効率▲OOD・空間・推論性能で先行し、NORA-LONGはaction chunkingで長期計画まで拡張した。
End-to-End,SpatialVLA,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,RSS,"Shanghai Jiao Tong University, Zhejiang University",https://arxiv.org/abs/2501.15830,https://spatialvla.github.io/,Manipulation,"Kitchen, Tabletop","Franka Emika Panda, WidowX","LoRA, Supervised","LIBERO, SIMPLER","Depth, Language, Vision","BridgeV2, Open-X-Embodiment, RH20T","PaliGemma, SigLIP, ZoeDepth",Autoregressive,Ego3DエンコーディングとAdaptive Action Gridsで3D空間認識を組み合わせたSpatialVLAは、わずか3つのトークンで行動を生成し、110万シナリオの事前学習後、様々なロボット・作業でSOTA性能と迅速な適応を実証しました。
End-to-End,MoLe-VLA,MoLe-VLA: Dynamic Layer-skipping Vision Language Action Model via Mixture-of-Layers for Efficient Robot Manipulation,,"HKUST, Nanjing University, Peking University",https://arxiv.org/abs/2503.20384,https://sites.google.com/view/mole-vla,Manipulation,Tabletop,Franka Emika Panda,"Distillation, Supervised",RLBench,"Language, Vision",,"DINOv2, LLaMA2, SigLIP",Diffusion,STAR (Spatial-Temporal Aware Router)で必要なレイヤーだけを選んで書き、CogKD (self-knowledge distillation)で失われた認知力を補い、計算量を最大5.6倍削減しながら、ロボット操作性能を平均8％向上させたVLAモデル。 つまり、「脳のように浅く、選択的に考える」効率型ビジョン・言語・行動モデルです。
End-to-End,UP-VLA,UP-VLA: A Unified Understanding and Prediction Model for Embodied Agent,ICML,Tsinghua University,https://arxiv.org/abs/2501.18867,https://github.com/CladernyJorn/UP-VLA,Manipulation,Tabletop,"Franka Emika Panda, Simulation",Supervised,CALVIN,"Language, Vision","BridgeV2, LLaVA Instruction","CLIP, Phi1.5",Autoregressive,"UP-VLAは、CLIP-ViT+VQ-GANエンコーダと1.3B Phi-1.5ベースのLLMを組み合わせて、画像-テキスト-アクショントークンを一つのAuto-regressive ストリームとして生成し、MMU(質疑応答)、PRE(未来フレーム予測)、Action(ロボットシーケンス)の3つの課題をアテンションマスクのみを変えて同時学習する。
Bridge-v2ロボットデモ(25 k)-LLaVA-Tuning(665 k)事前学習後、CALVIN+実物把持データを共同ファインチューニングし、CALVIN ABC→D成功率33%↑、実世界未知物体把持8pt↑でSOTAを更新した。"
End-to-End,DexVLA,DexVLA: Vision-Language Model with Plug-In Diffusion Expert for General Robot Control,,Shanghai University,https://arxiv.org/abs/2502.05855,https://dex-vla.github.io/,"Bi-manual, Dexterous Hand, Manipulation","Kitchen, Tabletop","AgileX, Franka Emika Panda, Inspire Hand, UR5",Supervised,LIBERO,"Language, Vision",,Qwen2-VL,Diffusion,"DexVLAは、マルチヘッド10億パラメータ拡散アクションエキスパートと3段階のEmbodied Curriculum(汎用事前学習→ロボット別微調整→少量・長期適応)手法で、多種のロボットの操作政策をデータ効率的に学習する。
また、Sub-step推論文生成+Reasoning-to-FiLM注入により、高レベルプランナーがなくても洗濯物開梱のような長期課題を安定的に実行し、従来のVLA-Diffusion Policyを上回る。"
End-to-End,ObjectVLA,ObjectVLA: End-to-End Open-World Object Manipulation Without Demonstration,,Shanghai University,https://arxiv.org/abs/2502.19250,https://objectvla.github.io/,Manipulation,Tabletop,Franka Emika Panda,Supervised,,"Language, Vision",,"DiffusionVLA, Qwen2-VL",Diffusion,"Bounding-box位置が注釈された画像-テキスト(ロボット:画像=10:1)をDiVLA-2Bと共同学習し、言語↔行動位置-groundingを形成、デモなしで100個のOODオブジェクトで64%の操作に成功。
携帯電話の写真21枚で1-epoch微調整し、新しいオブジェクトも10分以内に拡張、低コストデータだけで汎用オブジェクト操作を実現したObjectVLAフレームワーク。"
"End-to-End, Hierarchical, Humanoid",Gr00t-N1,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,,NVIDIA,https://arxiv.org/abs/2503.14734,https://research.nvidia.com/publication/2025-03_nvidia-isaac-gr00t-n1-open-foundation-model-humanoid-robots,"Bi-manual, Dexterous Hand, Manipulation","Kitchen, Tabletop",GR-1,Supervised,"DexMimigGen, RoboCasa","Language, Proprioception, Vision","Assembly101, DexMimicGen, EPIC-Kitchens, Ego-Exo4D, Ego4D, GR00T, HOI4D, HoloAssist, Open-X-Embodiment, RH20T","Eagle-2, SigLIP, VQ-VAE",Flow Matching,"デュアル-システム Eagle-2 VLM (推論) + DiT Flow-Matching Policy (行動) 構造とWeb-シミュ-実ロボットピラミッドデータを統合学習し、1つのモデルがマルチロボットに言語条件操作を高頻度で行う。
シミュレーション3種・実機GR-1評価で、従来のBC-Transformer/Diffusion Policyと比較して最大30%p以上の性能を上げ、10%のデモだけで同様の性能を達成した。"
